Archivo,Párrafo,Etiqueta,Confianza
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf, 1 ,LABEL_1,0.5168603658676147
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Antofagasta, veinte de mayo de dos mil veintitrés. ",LABEL_1,0.8565486073493958
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"VISTOS, OIDO Y CONSIDERANDO : ",LABEL_1,0.8050642609596252
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"PRIMERO: Que el día quince de mayo del presente año, ante la ",LABEL_1,0.8732529878616333
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Sala de este Tribunal de Juicio Oral  en lo Penal de Antofagasta, ",LABEL_1,0.8445130586624146
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,constituid a por los jueces  titulares  don Alfredo L indenberg Bustos  ,LABEL_1,0.8605126142501831
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"quien presidió, e integrada por los jueces doña Claudia Lewin ",LABEL_1,0.8555008769035339
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Arroyo y don Marcelo Echeverría Muñoz , se llevó a efecto , a través ",LABEL_1,0.8349602818489075
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"de la plataforma zoom , la audiencia de juicio oral de la causa RIT ",LABEL_1,0.8687946200370789
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"128-2023, RUC 2200166530 -1, seguida por  el delito de tráfico ",LABEL_1,0.8967906832695007
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,ilícito de estupefacientes  previsto y sancionado en los artículo s ,LABEL_1,0.8486000895500183
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"1 y 3 de la Ley 20.000 , de acuerdo a la acusación sustentada por ",LABEL_1,0.9014735221862793
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"el fiscal adjunto de Antofagasta  don Jonathan Kendall Craig, con ",LABEL_1,0.9202428460121155
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"domicilio registrado en la carpeta judicia l, en contra de  los ",LABEL_1,0.8317950963973999
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"acusados JOSE WILDER JUYPA ROJAS , cédula de identidad para ",LABEL_1,0.8731424808502197
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"extranjero s N° 14.883.829 -1, peruano, soltero, agricultor, 27 ",LABEL_1,0.8618098497390747
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"años, nacido el 30 de octubre de 1995 en  Cahuachi, Bolivia, quien ",LABEL_1,0.906595766544342
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,apercibido de conformidad al artículo 26 del Códi go Procesal Penal ,LABEL_1,0.830090343952179
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"fijó como domicilio  el de su defensa esto es,  Isaac Arce N° 249 ",LABEL_1,0.8986883759498596
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,oficina 401 de Antofagasta  representad o por la defensor a penal ,LABEL_1,0.7689489722251892
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"pública doña Margarita Angulo Huerta , con domicilio registrado en ",LABEL_1,0.8880589008331299
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,la carpeta judicial ; y HAMILTON SUMARAN S ANDOVAL cédula de ,LABEL_1,0.8722491264343262
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"identidad para extranjero s N° 14.883.828 -3, peruano, soltero, ",LABEL_1,0.8644420504570007
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"costurero, 28 años, nacido el 15 de agosto de 1994 en Huanchaca, ",LABEL_1,0.9110175967216492
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,quien apercibido de conformidad al artículo 26 del Código Procesal ,LABEL_1,0.8549641966819763
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Penal fijó como domicilio  el de su defen sa esto es, Baquedano N° ",LABEL_1,0.8750622868537903
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"50 oficina N° 814 de Antofagasta , representad o por la defensor a 2  ",LABEL_1,0.9043390154838562
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"privada doña Johana Godoy Escobar , cédula de identidad N° ",LABEL_1,0.8823842406272888
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"12.441.869 -0, con domicilio registrado en la c arpeta judicial . ",LABEL_1,0.8297630548477173
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"SEGUNDO: Que la acusación del Ministerio Públi co se fundó, ",LABEL_1,0.8392173051834106
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"según se lee en el respectivo auto de apertura de juicio oral,  de ",LABEL_1,0.8732547163963318
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"fecha treinta y uno de marzo  del presente año, en los siguientes ",LABEL_1,0.8343440890312195
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,hechos: ,LABEL_1,0.7683374285697937
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"“El día 20 de Febrero del año 2022, alrededor de las 02:40 ",LABEL_1,0.9282970428466797
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"hrs., en la Ruta 5 Norte Km. 1355 sector  gar ita de control La ",LABEL_1,0.8867782950401306
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Negra de la comuna de Antofagasta, funcionarios de Carabineros ",LABEL_1,0.8659491539001465
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,procedieron a fiscalizar  un taxi colectivo placa patente única ,LABEL_1,0.8501033186912537
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"GPXV.13, marca Hyundai, modelo Accent, color negro, en cuyo ",LABEL_1,0.8710696697235107
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,interior  se encontraban como pasajeros los imputado s ya ,LABEL_1,0.8162732124328613
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"individualizados, a quienes se les sometió a un control de  ",LABEL_1,0.803094208240509
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"identidad preventivo, manifestando los imputados haber ingresado ",LABEL_1,0.7571191191673279
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"ilegalmente a Chile, descendiendo ambos  del mencionado vehículo, ",LABEL_1,0.850084662437439
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"instantes en que se dieron a la fuga del lugar, siendo alcan zados ",LABEL_1,0.8108927607536316
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,y sometidos a un  control de identidad y registro al tenor de lo ,LABEL_1,0.7923534512519836
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"dispuesto en el artículo 85 del CPP, encontrando que los  ",LABEL_1,0.8708624839782715
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"imputados ya individualizados, transportaban y mantenían en su ",LABEL_1,0.7972347736358643
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,poder al interior del maletero del taxi  colectivo: 03 mochilas en ,LABEL_1,0.8855684995651245
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,cuyo interior guardaban un total de 60 paquetes todos contenedores ,LABEL_1,0.8500458002090454
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,de Cocaína  Clorhidrato con un peso bruto total aproximado de 64 ,LABEL_1,0.8939723372459412
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"kilos 742 gramos, manifestando el conductor del taxi  colectivo ",LABEL_1,0.855120062828064
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"que dichas mochilas pertenecían a los imputados, procedie ndo ",LABEL_1,0.7705783247947693
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,posteriormente a la detención de  ambos imputados y a la ,LABEL_1,0.8050759434700012
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,incautación de especies y teléfonos celulares .”(sic)  ,LABEL_1,0.8326188325881958
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf, 3 ,LABEL_1,0.5267868638038635
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,A juicio de  la Fiscalía los hechos relacionados son ,LABEL_1,0.822662353515625
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"constitutivos del delito de tráfico ilícito de estupefacientes , ",LABEL_1,0.8211708068847656
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,previsto y sancionado en e l artículo  3º en relación con el ,LABEL_1,0.8907507658004761
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"artículo 1º  de la Ley Nº 20.000 , en grado de consumado, en el cual ",LABEL_1,0.8999484777450562
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,les corresponde  a los acusados participación en calidad de autor es ,LABEL_1,0.8271607160568237
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"directos e inmediato s, de conformidad a los dispuesto en los ",LABEL_1,0.8241910934448242
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"artículos 14 Nº 1 y 15 Nº 1 del Código  Penal, a quien es no les ",LABEL_1,0.8088497519493103
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,perjudica  circunstancias agravantes  de responsabilidad penal  y les ,LABEL_1,0.7743963599205017
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,beneficia a ambos la atenuante prevista en el artículo 11 Nº 6 del ,LABEL_1,0.9067708849906921
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"mismo código. Por todo ello, solicitó se les imponga la  pena de 7 ",LABEL_1,0.8307912349700928
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,años de presidio mayo r en su gr ado mínimo y multa de 200 UTM; más ,LABEL_1,0.882146418094635
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"las accesorias legales del artículo  28 del Código Penal, esto es, ",LABEL_1,0.8619688153266907
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,la inhabilitación absoluta perpetua para cargos y oficios públicos ,LABEL_1,0.8223029375076294
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,y derechos políticos y la de inhabilitación absoluta para ,LABEL_1,0.8064344525337219
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,profesiones titulare s durante el tiempo de la condena y conforme a ,LABEL_1,0.8386794924736023
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,lo previsto en el artículo 31 del Código Penal y 45 de la Ley N° ,LABEL_1,0.8947866559028625
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"20.000, además el comiso de las especies incautadas en el ",LABEL_1,0.8536597490310669
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,procedimiento y se les condene al pago de las costas de la causa.  ,LABEL_1,0.7974193692207336
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"TERCERO:  Que, el fiscal en su alegato de apertura  indicó que  ",LABEL_1,0.8202791810035706
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,la prueba será suficiente para establecer los hechos y la ,LABEL_1,0.7914802432060242
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"participación. Dentro de la prueba, l a declaración del testigo ",LABEL_1,0.8358273506164551
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,protegido será importante para dar cuenta de la dinámica de los ,LABEL_1,0.734993577003479
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,hechos. ,LABEL_1,0.6814931035041809
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Por su parte, en su alegato de a pertura, la defensa del ",LABEL_1,0.8385888338088989
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"acusado Juypa sostuvo que  la defensa será colaborat iva, ya que el ",LABEL_1,0.8258745074272156
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"acusado renunciará a su derecho a guardar silencio , aportando 4  ",LABEL_1,0.8647955656051636
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,antecedentes con los que no contaba el Ministerio Público . ,LABEL_1,0.6291856169700623
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"A su turno, la defensa del acusado Sumarán, en su alegato de ",LABEL_1,0.8718346357345581
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,inicio refirió que buscará el reconocimiento de dos circunstancias ,LABEL_1,0.8278692364692688
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"modificatorias de responsabilidad, entre ellas el esclar ecimiento ",LABEL_1,0.8306711912155151
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"de los hechos, solicitando la rebaja de pena pertinente.  ",LABEL_1,0.7870103716850281
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"CUARTO: Que, los acusados debidamente in formados de sus ",LABEL_1,0.8260298371315002
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"derechos, decidi eron renunciar al correspondiente a guardar ",LABEL_1,0.7767266035079956
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"silencio , prestando dec laración como siguen:  ",LABEL_1,0.8481817841529846
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"-HAMILTON SUMARAN SANDOVAL , señaló que el 15 de febrero ",LABEL_1,0.8894829750061035
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"estuvo en Iquique , había venido  desde Santiago. Con su familia ",LABEL_1,0.8665094971656799
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,trabajan en cost ura en San tiago. Uno de sus primos le dijo que en ,LABEL_1,0.8866729736328125
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"la zona franca vendían máquinas , por lo que  se fue a esa ciudad a ",LABEL_1,0.8228219151496887
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,cotizar las m áquinas. El día 19 conoció al otro acusado y otros ,LABEL_1,0.8542127013206482
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"compañeros. Estuvo en un restaurante de un hotel, se presentaron ",LABEL_1,0.8212048411369324
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,como personas de naci onalidad peruana.  Uno de esos sujetos ,LABEL_1,0.8028410077095032
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,preguntó si podía darle trabajo  en Santiago . Le dij o a esa persona ,LABEL_1,0.8527370691299438
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,que en Santiago se ganaba plata. Él le dijo que tenían un negocio ,LABEL_1,0.8211881518363953
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"de ropa, así que  le entregó su número. Le dijeron que querían ir ",LABEL_1,0.7944422364234924
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,como ilegales a Sant iago. Él  le dijo que había buses ilegales que ,LABEL_1,0.8175150156021118
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,podían llevarlo s a Santiago. Luego la persona con la que habló le ,LABEL_1,0.8151494264602661
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"dijo que llevarían algo ilegal a Santiago, por lo que le pagar ían ",LABEL_1,0.8278812766075134
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,plata. De Iquique se vino a Antofag asta para irse a Santiago. ,LABEL_1,0.8898972272872925
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Cuando llegó el 19 de febrero a las 12:00 de la noche, estaba ",LABEL_1,0.8649596571922302
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"junto con el mismo chofer que lo llev ó a Iquique,  buscando ",LABEL_1,0.8619359731674194
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,habitaciones  en Antofagasta . Encontró un hotel  llamado Dakota . No ,LABEL_1,0.7358561158180237
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"tenía sus documentos, pero igual pudo quedarse. Al otro día se fue  ",LABEL_1,0.8050360679626465
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf, 5 ,LABEL_1,0.5321336984634399
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"al terminal y ahí quiso comprar pasajes , pero como no tenía ",LABEL_1,0.7608535885810852
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,documentos ni PCR no le vendieron pasajes. Salió del terminal y ,LABEL_1,0.7737506628036499
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,vio a otra persona a quien le dijo que si podía viajar a Iquique a ,LABEL_1,0.8554891347885132
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,buscar sus documentos. La persona le dijo que en La Negra podía ,LABEL_1,0.8236106038093567
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,tomar buses ilegale s a Santiago. Esa persona l o trasladó a Iquique ,LABEL_1,0.8496343493461609
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,por 80.000 pesos. En Iquique se encontró con las mismas personas ,LABEL_1,0.881712019443512
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,que había visto antes en esa ciudad. Acordaron viajar juntos a ,LABEL_1,0.8457702398300171
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"Santiago, subieron las mochilas y antes del control, se bajaro n ",LABEL_1,0.8516155481338501
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,con los bolsos y  se fueron caminando y él se quedó con el chofer. ,LABEL_1,0.8106439113616943
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,Al otro lado estaban los muchachos. Llegaron a Antofagasta en el ,LABEL_1,0.7904319763183594
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"sector de  La Negra y estaban 3 o 4 carabineros, lo s pararon y le s ",LABEL_1,0.8637388348579407
128-2023 (MEcheverria) TIE Hamilton Sumarán y José Juypa.pdf,"pidieron los documentos. Bajaron los otros tres, éstos querían ",LABEL_1,0.7751654386520386
